"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "HTML", "Markdown", "YAML", "Ignore", "comment", "blank", "total"
"g:\graduation-project\RobinStudio\src\renderer\src\components\welcome-tab\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\editor\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\graduation-project\RobinStudio\src\renderer\src\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-app-settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-app-theme.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 8, 31
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-current-project.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-custom-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-debounce-value.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-editor-did-mount.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 9, 38
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-file-watcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-langaugeserver.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 8, 34
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-languageclient.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 9, 28
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-output.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-toggle-icon-state.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"g:\graduation-project\RobinStudio\src\renderer\src\hooks\use-transform-tree.tsx", "TypeScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 1, 6, 92
"g:\graduation-project\RobinStudio\src\renderer\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 2, 15, 126
"g:\graduation-project\RobinStudio\src\renderer\src\languages\wren.ts", "TypeScript", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 2, 17, 180
"g:\graduation-project\RobinStudio\src\renderer\src\lib\utils.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 10, 42
"g:\graduation-project\RobinStudio\src\renderer\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"g:\graduation-project\RobinStudio\src\renderer\src\provider\app-providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"g:\graduation-project\RobinStudio\src\renderer\src\stores\app-settings.store.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"g:\graduation-project\RobinStudio\src\renderer\src\stores\current-project.store.ts", "TypeScript", 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 7, 39, 277
"g:\graduation-project\RobinStudio\src\renderer\src\stores\output.store.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"g:\graduation-project\RobinStudio\src\renderer\src\stores\recent-files.store.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 7, 45
"g:\graduation-project\RobinStudio\src\renderer\src\stores\recent-folder.strore.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 3, 8, 58
"g:\graduation-project\RobinStudio\src\renderer\src\types\comparison.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"g:\graduation-project\RobinStudio\src\renderer\src\types\compiler-phases.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"g:\graduation-project\RobinStudio\src\renderer\src\types\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"g:\graduation-project\RobinStudio\src\renderer\src\types\measurement.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"g:\graduation-project\RobinStudio\src\renderer\src\types\tree-node.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"g:\graduation-project\RobinStudio\src\shared\channels\browser-window-actions.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"g:\graduation-project\RobinStudio\src\shared\channels\channel-type.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"g:\graduation-project\RobinStudio\src\shared\channels\file-system\file-channels.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 7, 23
"g:\graduation-project\RobinStudio\src\shared\channels\file-system\folder-channels.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"g:\graduation-project\RobinStudio\src\shared\channels\file-system\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"g:\graduation-project\RobinStudio\src\shared\channels\file-system\tree-channels.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
"g:\graduation-project\RobinStudio\src\shared\channels\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\shared\channels\language-server.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"g:\graduation-project\RobinStudio\src\shared\protocols\asset-server.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"g:\graduation-project\RobinStudio\src\shared\protocols\asset-url.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"g:\graduation-project\RobinStudio\src\shared\types\channel-names.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\shared\types\event-type.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"g:\graduation-project\RobinStudio\src\shared\types\hn-expression.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"g:\graduation-project\RobinStudio\src\shared\types\index.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"g:\graduation-project\RobinStudio\src\shared\types\language-server.ts", "TypeScript", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 3, 19, 100
"g:\graduation-project\RobinStudio\src\shared\types\parse.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"g:\graduation-project\RobinStudio\src\shared\types\tokenizer.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"g:\graduation-project\RobinStudio\tailwind.config.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 113
"g:\graduation-project\RobinStudio\tsconfig.json", "JSON with Comments", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"g:\graduation-project\RobinStudio\tsconfig.node.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"g:\graduation-project\RobinStudio\tsconfig.web.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 129, 12057, 15, 1336, 3740, 109, 15, 22, 54, 6, 1380, 861, 19724
